File,OriginalMB,OptimizedMB,ReductionPct,Codec,Status
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S0\02.mp4",3.6,4.23,-17.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\S1.mp4",0.2,0.27,-37.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\s2.mp4",0.31,0.34,-10.4,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\s3.mp4",0.32,0.41,-30,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\s4.mp4",1.1,1.01,8.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\s5.mp4",0.29,0.32,-10.9,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\s6.mp4",2.53,3.2,-26.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\s7.mp4",0.47,0.43,7.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S1\s8.mp4",0.45,0.46,-0.6,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a1.mp4",0.59,0.48,17.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a2.mp4",0.22,0.2,7.6,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a3.mp4",0.31,0.25,17.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a4.mp4",0.83,0.8,3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a5.mp4",2.61,1.76,32.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a6.mp4",1.08,0.67,38.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a7.mp4",7.55,5.49,27.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S10\a8.mp4",3.03,2.62,13.4,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S11\s1.mp4",1.72,1.12,34.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S11\s2.mp4",1.36,1.16,14.6,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S11\s3.mp4",1.37,1.24,9.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a1.mp4",0.24,0.22,8.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a10.mp4",0.74,0.62,15.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a11.mp4",4.42,3.67,16.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a12.mp4",3.97,3.53,11.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a13.1.mp4",0.41,0.31,23.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a13.mp4",2.54,2.01,21,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a14.mp4",1.04,0.92,11.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a15.mp4",2.94,2.6,11.6,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a16.1.mp4",0.47,0.36,22.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a16.mp4",4.17,3.82,8.4,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a17.mp4",2.1,1.85,11.6,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a18.mp4",3.43,2.97,13.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a19.1.mp4",0.65,0.49,23.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a19.mp4",3.4,3.4,0,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a2.1.mp4",0.23,0.19,18.9,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a2.mp4",0.65,0.58,10.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a20.1.mp4",0.55,0.5,10,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a20.mp4",0.4,0.34,13.9,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a21.mp4",0.29,0.26,12,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a22.mp4",0.33,0.31,4.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a3.1.mp4",0.3,0.24,20.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a3.mp4",0.36,0.3,18.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a4.1.mp4",0.4,0.29,26.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a4.mp4",0.69,0.62,10.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a5.1.mp4",0.41,0.32,21.9,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a5.mp4",0.33,0.29,13.6,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a6.1.mp4",0.22,0.18,16,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a6.mp4",0.72,0.69,4.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a7.1.mp4",0.74,0.69,7.4,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a7.mp4",0.43,0.31,27.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a8.1.mp4",0.26,0.21,19.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a8.mp4",2.82,2.4,14.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a9.1.mp4",0.41,0.36,12.6,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S12\a9.mp4",2.13,1.82,14.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p1.mp4",0.73,0.63,13.9,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p10.mp4",0.64,0.51,20.9,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p2.mp4",0.88,0.64,27.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p3.mp4",0.58,0.5,14.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p4.mp4",0.53,0.48,9.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p5.mp4",0.71,0.66,6.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p6.mp4",0.95,0.83,12.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p7.mp4",0.57,0.46,19.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p8.mp4",0.52,0.4,23.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S2\p9.mp4",0.36,0.29,19.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c1.mp4",0.69,0.48,30.7,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c10.mp4",0.33,0.25,23.1,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c11.mp4",0.47,0.39,17,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c12.mp4",0.42,0.36,13.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c13.mp4",1.23,1.17,4.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c14.mp4",0.38,0.3,20.8,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c15.mp4",0.3,0.3,2.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c16.mp4",0.51,0.44,12.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c17.mp4",0.44,0.39,11.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c18.mp4",0.47,0.42,10.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c19.mp4",0.51,0.42,16.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c2.mp4",0.42,0.31,24.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c20.mp4",0.49,0.37,23.4,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c21. 1.mp4",0.3,0.25,16.3,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c21.mp4",1.08,0.74,31.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c22.mp4",0.89,0.75,15.5,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c3.mp4",0.48,0.36,24.9,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c4.mp4",0.45,0.34,24.2,h264,Optimized
"C:\Users\binge\OneDrive\Desktop\Web Projects\sector69\video\S3\c5.mp4",0.76,0.55,27.6,h264,Optimized
